date,open,high,low,close,volume,marketcap,fng,avg_block_size,difficulty,hash_rate,miner_revenue,unique_active_address,search_volume,sp500,gold_price,nlp_compound,nlp_subjectivity,nlp_polarity
10/27/2022,20772.80303,20854.04422,20255.37314,20285.83678,49625110402,3.89E+11,32,1.274635541,3.68E+13,257763206.6,17781054.47,648360,12,3807.300049,1660.3,0.30726,0.512222222,0.267777778
10/26/2022,20092.23719,20938.13381,20076.11777,20770.44127,58895950537,3.99E+11,33,1.378651135,3.68E+13,255403382.9,20391787.5,683262,12,3830.600098,1664.4,0.27,0.4275,0.148333333
10/25/2022,19344.96442,20348.41158,19261.44713,20095.85646,47761524910,3.86E+11,20,1.197666844,3.68E+13,259399943,15262936.71,601629,12,3859.110107,1653.3,0.39386,0.22718254,0.076238095
10/24/2022,19567.76958,19589.12458,19206.32431,19345.57235,30202235805,3.71E+11,22,1.287803551,3.68E+13,261757390.7,16704131.75,629949,10,3797.340088,1649.2,0.199722222,0.302225228,-0.023925114
10/23/2022,19207.73465,19646.65154,19124.19696,19567.0074,22128794335,3.75E+11,23,0.927848832,3.56E+13,258958216,18817002.9,582380,9,,,0.31615,0.291765873,0.207738095
10/22/2022,19172.38061,19248.06767,19132.24319,19208.19025,16104440957,3.69E+11,20,1.121681191,3.56E+13,263004438.1,16486650.38,598580,9,,,-0.06128,0.24530303,-0.030909091
10/21/2022,19053.20305,19237.38561,18770.97006,19172.46922,32459287866,3.68E+11,23,1.1408685,3.56E+13,263004438.1,18823653.63,671089,11,3752.75,1651.5,-0.0156,0.230099206,-0.069027778
10/20/2022,19138.08506,19315.19897,18971.45865,19053.74024,24493974420,3.66E+11,23,1.220903559,3.56E+13,262498660.4,17832142.51,633545,11,3665.780029,1631.8,0.0467875,0.306846591,0.037376894
10/19/2022,19335.02644,19348.41681,19127.68837,19139.53435,22425387184,3.67E+11,23,1.373442437,3.56E+13,258958216,18709672.39,612805,10,3695.159912,1629,0.081077778,0.466195286,0.079191919
10/18/2022,19550.46674,19666.99501,19144.77018,19334.41515,30580012344,3.71E+11,22,1.300711352,3.56E+13,262751549.2,17605946.97,615413,10,3719.97998,1650.7,0.305075,0.351770833,0.138333333
10/17/2022,19268.5621,19635.80228,19173.33472,19550.7573,27472552998,3.75E+11,20,1.142144327,3.56E+13,265070008.5,18438405.72,613662,10,3677.949951,1658.9,0.143953846,0.548304011,0.192134948
10/16/2022,19068.91356,19389.60352,19068.91356,19268.0928,17988916650,3.70E+11,24,0.959875847,3.56E+13,263841541.7,17640377.3,558957,9,,,0.164069231,0.353247863,0.09530303
10/15/2022,19185.4373,19212.54161,19019.25013,19067.63508,16192235532,3.66E+11,24,1.064861717,3.56E+13,264375964.1,18603429.73,612380,10,,,0.21095,0.283333333,0.15
10/14/2022,19382.53397,19889.14627,19115.40732,19185.6567,38452356727,3.68E+11,24,1.32048575,3.56E+13,263008007.4,19349674.9,694651,12,3583.070068,1643.7,0.114975,0.521051136,0.203200758
10/13/2022,19156.96661,19453.32797,18319.82263,19382.90403,44219840004,3.72E+11,20,1.348097413,3.56E+13,262255135.4,17339850.42,691476,13,3669.909912,1677,-0.054825,0.567708333,0.214973958
10/12/2022,19052.64579,19203.19865,19029.75833,19157.44629,24950173846,3.67E+11,20,1.211656737,3.56E+13,266582891.1,16543247.31,646003,11,3577.030029,1677.5,0.241831818,0.37794733,0.126349206
10/11/2022,19138.99988,19241.96024,18925.60322,19051.41827,28711532910,3.65E+11,24,1.111307599,3.56E+13,263180398.3,19592269.93,635320,12,3588.840088,1686,0.571285714,0.243452381,0.073214286
10/10/2022,19446.41623,19515.46729,19102.97924,19141.48351,27425022774,3.67E+11,22,1.050634655,3.37E+13,257225315.4,20456350.29,619704,12,3612.389893,1675.2,0,0,0
10/9/2022,19417.47941,19542.53865,19349.25895,19446.42619,16837262532,3.73E+11,22,0.883335449,3.14E+13,257002609.5,19801812.92,553851,10,,,0.417333333,0.430555556,0.280555556
10/8/2022,19546.32884,19601.69546,19299.41362,19416.56785,16437423167,3.72E+11,24,0.855713126,3.14E+13,258338844.9,21693311.54,610636,9,,,0.160975,0.272941468,0.157142857
10/7/2022,19957.55908,20041.08558,19395.79324,19546.84971,29227315390,3.75E+11,23,1.151927023,3.14E+13,257893433.1,21329735.83,675013,12,3639.659912,1709.3,0,0.1875,0.0125
10/6/2022,20161.03844,20408.39184,19900.08853,19955.44367,34711412966,3.83E+11,26,1.140855396,3.14E+13,254330138.7,20238933,677796,11,3744.52002,1720.8,0.21224,0.47987963,0.028342593
10/5/2022,20335.89958,20343.74852,19801.80066,20160.71617,33223790572,3.86E+11,25,0.977979754,3.14E+13,248825712.3,22220525.21,644568,12,3783.280029,1720.8,0.36335,0.238645382,0.102289476
10/4/2022,19623.58469,20380.34418,19523.84012,20336.84295,35887278685,3.90E+11,20,1.111434748,3.14E+13,241881060,20497223.57,655477,13,3790.929932,1730.5,0.416854545,0.526515152,0.33030303
10/3/2022,19044.06785,19653.54295,19025.22629,19623.58033,30484729489,3.76E+11,24,1.245323565,3.14E+13,241719711.3,18822692.57,656236,12,3678.429932,1702,0.2217,0.403000842,0.153196549
10/2/2022,19311.84871,19370.30928,18970.62058,19044.10727,20765955327,3.65E+11,24,0.983753287,3.14E+13,240207537.6,19049496.73,570649,10,,,0.25124,0.455603535,0.131578283
10/1/2022,19431.10495,19471.15487,19231.08187,19312.09473,18719537670,3.70E+11,20,0.931414387,3.14E+13,233122853.3,22356100.36,627906,10,,,0.296377778,0.46958006,0.190109428
9/30/2022,19573.43142,20109.8503,19265.6624,19431.78945,43975248085,3.72E+11,21,1.137219811,3.14E+13,226207380,20961626.89,717755,13,3585.620117,1672,0.0861125,0.485566378,0.112864358
9/29/2022,19427.78019,19589.26621,18924.35345,19573.05031,41037843771,3.75E+11,22,1.215810685,3.14E+13,223489276.7,17625877.85,652313,13,3640.469971,1668.6,-0.13296,0.0975,0.055
9/28/2022,19104.62079,19688.34437,18553.29736,19426.72133,53071298734,3.72E+11,20,1.113080173,3.14E+13,222107408.7,18194817.84,620268,13,3719.040039,1665.1,0.077444444,0.500965608,0.074691358
9/27/2022,19221.84071,20338.45546,18915.66872,19110.54655,58571439619,3.66E+11,20,1.460768388,3.20E+13,227341497.3,16499416.48,648681,14,3647.290039,1631.1,0.53355,0.367361111,0.191004774
9/26/2022,18803.90063,19274.8735,18721.28585,19222.67218,44148798321,3.68E+11,21,1.17995642,3.20E+13,222790115.9,18586164.08,614435,14,3655.040039,1628.2,0.008916667,0.285109127,0.036971501
9/25/2022,18936.31152,19134.73319,18696.4683,18802.09798,23359966112,3.60E+11,24,0.953861286,3.20E+13,224383099.4,18123081.63,574037,12,,,-0.07055,0.361666667,0.007777778
9/24/2022,19296.9907,19310.19761,18861.974,18937.01118,26149643168,3.63E+11,24,1.043804055,3.20E+13,229844757,17641158.58,588364,12,,,0.300026667,0.365900983,0.162197279
9/23/2022,19412.39993,19464.67235,18617.55301,19297.63784,38896078052,3.70E+11,20,1.380416993,3.20E+13,228251773.5,16388196.05,689899,14,3693.22998,1650,0.16502,0.490555556,0.171388889
9/22/2022,18534.6496,19456.9109,18415.5915,19413.55162,41135767926,3.72E+11,22,1.225528484,3.20E+13,232575585.8,15405709.41,614742,15,3757.98999,1676.1,-0.091066667,0.156111111,-0.052777778
9/21/2022,18891.28289,19674.63033,18290.31519,18547.39976,46363793975,3.55E+11,23,1.21790044,3.20E+13,229389618.9,17044371.76,632611,15,3789.929932,1670.5,0.0814,0.157666667,0.0335
9/20/2022,19545.59128,19602.45675,18813.45501,18890.7891,36791346508,3.62E+11,23,1.275621572,3.20E+13,225080869.7,18547287.28,650202,15,3855.929932,1665.7,-0.047366667,0.452002165,0.248700171
